,date,source,content,province,user_0,user_1,user_2,user_3,user_4,user_5,user_6,user_7,user_8,user_9,user_10,user_11,user_12,user_13,user_14,user_15,user_16,user_17,like
0,2022-02-18,北京日报客户端,有人从香港游泳偷渡到深圳湾被捕？假的！系轻生被救！,广东,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-02-18,大河报、羊城晚报, 近日，社交媒体上一则题为“河南一位老爷爷考上清华大学被顶替”的消息引发网友关注和转发。消息称老人当年高考自觉考得不错，最后却落榜。老人不愿相信，四处打听后，有人告诉他他的分数确实足够上清华，但被其他人顶替了。老人心中不甘但求路无门，最终精神出现了问题，目前成为了一名流浪人员。 经核查，该消息为谣言。 2月17日，河南襄城教育体育局对此回应道，消息中所述的老人名叫何某某，男，72岁，系襄城县十里铺镇人，农民，小学文化程度。何某某本人从未上过高中，也没有参加过高考，不存在考上清华大学被顶替的问题。网传信息与事实不符，为虚假信息。,河南,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41
2,2022-02-17,南方都市报、大众网, 近日，网传湖南衡阳“南岳衡山寺庙”高薪招聘住持，月薪高达5万元，弹性工作制，下班后原则上不干预私生活。 经南岳佛教协会核实，该消息为谣言。 2月15日，南岳佛教协会就网传谣言发布辟谣声明称：南岳所辖无名为“南岳衡山寺庙”的宗教场所，也未发布任何招聘住持、首座等公告；网传的招聘信息纯属谣言，恶意引导，性质恶劣，抹黑南岳宗教形象。南岳佛教协会已向公安机关正式报案，将对造谣者依法追究法律责任。,湖南,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26
3,2022-02-17,江苏省互联网举报中心, 近日，网传消息称“苏州市独墅湖医院正在建方舱”。该消息发布后，引发关注讨论。 经核实，网传消息为谣言。 2月16日23点32分，江苏省互联网举报中心在其官方渠道，对上述网传谣言发布辟谣信息。 目前该院在建的项目为新发热门诊，“建设方舱”为不实信息。据苏州市独墅湖医院相关负责人介绍，网友热议该院“方舱医院”的位置其实是新建的发热门诊，数月前就已开工，目前正在进入完工阶段，以前的发热门诊已作为该院二期工程用地。 ,江苏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
4,2022-02-16,中国新闻网,在塞企业组织包机载客回国？中国驻塞内加尔使馆辟谣！,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-02-16,深圳新闻网、深圳教育, 近日，网传消息称“深圳全市中小学、幼儿园学生返校时间将推迟至28日”。 经深圳市教育局核实，上述网传消息为谣言！ 2月15日晚7点44分，深圳新闻网通过官方渠道，发布相关辟谣资讯。同时，深圳新闻网表示：目前深圳全市中小学（幼儿园）学生返校时间为2月21日。,广东,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20
6,2022-02-15,徐汇交警、人民网, 元宵佳节，怎能不来一碗香甜软糯的酒酿汤圆呢？但人们在品尝酒酿汤圆美味的同时，往往忽略了酒酿汤圆含有酒精的事实。近日，有网友发现有商家上线了“食用酒酿汤圆后不要立刻驾车”的温馨提示，该提示上线后引发部分网友讨论：食用酒酿汤圆真的会造成酒驾吗？ 经徐汇交警核查，网传消息属实。食用酒酿汤圆后立即进行酒精检测，体内酒精含量确实会出现异常。 为了验证网传观点，徐汇交警特意录制了相关科普视频。在交警亲身试验过程中，一位交警食用了一碗酒酿汤圆后立即进行酒驾检测，真的出现了酒精超标的结果。不过，10分钟后再次检测，则恢复正常。对此，交警给出的解释，是因为酒酿汤圆中确实含有酒精。 除了酒酿汤圆，在生活中误食这些食物后立即驾车，也可能会“被酒驾”，比如：荔枝、蛋黄派、提拉米苏、腐乳、醉蟹、糟鸡、木瓜水、料酒、酒心糖……大家一定要注意在驾车之前避免食用这些食物。 若不慎误食而被测出“酒驾”，也不要紧张，可以向交警解释，并暂缓几分钟后再进行测试。 辟谣君提醒：酒酿汤圆虽美，但也可能带来“被酒驾” 的小麻烦，大家驾车前还是要注意避免食用哦。此外，元宵佳节，亲朋团聚，难免“久逢知己千杯少”，但也请务必铭记“开车不喝酒，喝酒不开车”。,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,142
7,2022-02-14,南宁举报辟谣,网传横州市马山镇太宁村有一阳性病例接触者？谣言！,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-02-14,灵山警方、八桂警事, 近日，社交媒体上流传视频称“三隆镇有户人整户感染新冠病毒”。 经灵山警方核查，网传视频为谣言！ 视频真实内容为三隆镇卫生院对居家隔离人员上门进行核酸采样。灵山县公安局三隆派出所民警依法传唤谣言发布者施某龙（男，28岁，灵山县三隆镇三隆村委人）到派出所进一步审查。 谣言发布者施某龙为搏人眼球，在未经核实的情况下，在网络上随意散布疫情不实信息，对社会造成了不良影响，对当事人造成了心理压力和精神伤害，其行为已构成捏造事实诽谤他人。 目前，施某龙已深刻认识到了自己的错误，对其散布不实信息的行为表示十分后悔，并写下保证书保证今后不会再犯类似的错误。根据《中华人民共和国治安管理处罚法》第四十二条第二款之规定，公安机关对施某龙处以治安行政处罚。,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,89
9,2022-02-14,央视网、广西日报, 近日，社交媒体上流传一则题为“德保县一位确诊4岁的小朋友自己拿着行李去隔离，心疼，为你加油”的视频。 经广西德保县网络安全和信息化研究中心核实，网传消息不实。 经查证，视频中转运的小朋友在2月12日12:30左右由随行医护人员送至医院接受治疗，其姐姐已于2月10日转运至同一家医院接受治疗，医护人员将该小朋友与其姐姐安排在同一个病房内。2月13日，其母亲和外婆也转运至同一家医院，医护人员将姐妹俩安排与其母亲同一病房悉心照料。目前，姐妹俩和其母亲身体状况和情绪稳定。医护人员将持续关注姐妹俩的健康状况，并对其进行心理疏导。,广西,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
10,2022-02-12,杭州发布、浙江日报, 2月11日晚，网传消息称“江南时代某快餐店食品阳性”。消息发布后，在余杭本地圈群中流传。 经余杭区疫情防控办核实，该消息不实。实则为防疫例行抽样检测，检测结果均为阴性。,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40
11,2022-02-12,人民日报、环球网, 近日，有群众向国家移民管理局查询求证，“网上流传北京等地恢复了出国旅游等因私护照办理和换发，是否属实？现在以普通探亲、旅游等事由出境，可以换发护照吗？” 国家移民管理局郑重提醒，相关网上信息为不实消息！ 当前，境外疫情形势依然严峻，跨境旅行等存在较大安全风险。国家移民管理局倡导非紧急非必要不出境。但对赴境外留学、就业、商务等确有出境需求的人员，经审核属实后，移民管理机构均正常签发护照等出入境证件。 如有出入境政策调整变化，国家移民管理局将第一时间对外发布。请广大中外出入境人员不信谣，不传谣，如需获取移民和出入境政策资讯，请通过国家移民管理局官方网站、政务新媒体查询了解，或拨打国家移民管理机构12367服务热线进行咨询。 ,北京,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
12,2022-02-11,南国早报, 近日，社交媒体上流传一则主要内容为“贵港疫情防控通知：夫妻不得亲嘴搂抱”的视频。该视频配文称“贵港疫情防控通知：不得亲嘴，不得搂抱”“通知，从今天晚上开始，夫妻必须分床睡，分开吃饭，不允许亲嘴，不允许搂抱，希望大家遵守一点，坚持一点，谢谢配合。” 经南国早报核查，网传消息为虚假消息。相关话题早在去年就已被多次辟谣2022年。 2月10日，南国早报记者从贵港疫情防控指挥部获悉，贵港确实未发过相关通知。该视频及相似谣言，早在2021年下半年，就已在多个城市和地区流传，已被多次辟谣。,广西,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
13,2022-02-11,汉中市教育局, 近日，互联网上出现一份文件，名为《汉中市教育局关于做好全市各级各类学校2022年寒假收假有关工作的通知》，其中称“由于我市疫情仍有反弹，全市中小学生开学时间暂时延迟”。 经汉中市教育局查证，上述文件所言消息不实。 对于上述文件中的信息，汉中市教育局于2月10日发布郑重声明称：“此信息反映的寒假时间安排为虚假不实信息，请各中小学校、广大学生和家长不信谣、不传谣，切勿上当。”汉中教育局还表示，关于寒假时间安排的官方通知均已发布在《学在汉中》融媒体平台，本次寒假的开学时间未作过任何调整，始终为2月16日报到，2月17日正式上课。,陕西,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18
14,2022-02-10,昌黎县委网信办、秦皇岛网络辟谣、河北省秦皇岛市北戴河新区新闻中心, 近日，网传消息称“昌黎县广缘超市紧急被封，昌黎现已升级为疫情中风险地区”。消息发布后，引发网友关注讨论。 经昌黎县应对新型冠状病毒肺炎疫情指挥部核实，网传消息为谣言。昌黎县县域疫情风险等级全部为低风险。 该谣言中提到的昌黎县广缘超市（碣阳大街店）是因临时管控暂停营业。 截至2022年2月10日8时31分，秦皇岛地区及下辖区县，未发现新增确诊病例。,河北,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
15,2022-02-10,广西政法、南国早报、中国互联网联合辟谣平台, 近日，网传消息称“广西再次调整延迟开学时间：3月1日前不得开学”。消息发布后，迅速在相关家长群传播。 经媒体和有关部门核查，网传消息为假消息。 该谣言中使用的图片，实为2020年“广西云”2月13日发布的历史消息，并非近期消息。谣言发布者通过P图等手段，篡改原图内容。,广西,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
16,2022-02-09,平南县第二人民医院、广西互联网举报中心, 2月8日晚，网传消息称“第二人民医院（大安医院）检测出一名阳性患者”。该消息随后在网上传播，引发网民担忧。 经平南县第二人民医院新冠肺炎疫情防控领导小组办公室核实：该信息为谣言。2月8日22点43分，平南县第二人民医院，在经过查证后，已在第一时间通过官方渠道发布了辟谣2022年消息。 截至2022年2月9日9点01分，广西贵港市和下辖平南县，未发现新增确诊病例。,广西,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,171
17,2022-02-08,天津辟谣、津云、环球网, 2月8日，网传视频消息称“通知：2月16日，各学校做好线上开学的准备，网课。和平区毕业年级预计最早2月28日到校上课，非毕业年级预计最早3月15日左右到校上课”。 经天津市互联网违法和不良信息举报中心核查，网传消息为谣言！,天津,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
